1.	-8070450532247929/288230376151711744
1.	-3602879701896397/144115188075855872
1.	-12682136550675317/576460752303423488
1.	-17870283321406129/1441151880758558720
1.	-3458764513820539/720575940379279360
1.	-864691128455135/288230376151711744
1.	-9007199254741/9007199254740992
1.	1008806316530991/72057594037927936
1.	6269010681299731/360287970189639680
1.	19887895954468113/720575940379279360
1.	30408304684005591/720575940379279360
1.	7061644215716937/144115188075855872
1.	37614064087798381/720575940379279360
1.	6737385042546263/90071992547409920
1.	1405123083739595/18014398509481984
1.	3098476543630901/36028797018963968
1.01	-1261007895663739/36028797018963968
1.01	-1224979098644775/72057594037927936
1.01	-7493989779944505/576460752303423488
1.01	-16140901064495859/1441151880758558720
1.01	9007199254741/45035996273704960
1.01	9007199254741/4503599627370496
1.01	1188950301625811/90071992547409920
1.01	5908722711110091/360287970189639680
1.01	19887895954468113/720575940379279360
1.01	6052837899185947/144115188075855872
1.01	37614064087798381/720575940379279360
1.01	17870283321406129/288230376151711744
1.01	6917529027641083/90071992547409920
1.01	3062447746611937/36028797018963968
1.02	-1116892707587883/36028797018963968
1.02	-8070450532247929/288230376151711744
1.02	-1152921504606847/72057594037927936
1.02	-3458764513820541/288230376151711744
1.02	-5764607523034235/576460752303423488
1.02	-5908722711110091/720575940379279360
1.02	1008806316530991/144115188075855872
1.02	3746994889972253/288230376151711744
1.02	6557241057451443/360287970189639680
1.02	19887895954468113/720575940379279360
1.02	25364273101350631/720575940379279360
1.02	30120074307853879/720575940379279360
1.02	37614064087798381/720575940379279360
1.02	1170935903116329/18014398509481984
1.02	1224979098644775/18014398509481984
1.02	1279022294173221/18014398509481984
1.02	5692549928996307/72057594037927936
1.02	15096065950945901/180143985094819840
1.03	-1261007895663739/36028797018963968
1.03	-3458764513820541/144115188075855872
1.03	-12105675798371893/576460752303423488
1.03	-10376293541461623/576460752303423488
1.03	-8070450532247929/576460752303423488
1.03	-3891110078048109/360287970189639680
1.03	-6341068275337659/720575940379279360
1.03	-1008806316530991/144115188075855872
1.03	-720575940379279/144115188075855872
1.03	-864691128455135/288230376151711744
1.03	-9007199254741/9007199254740992
1.03	9223372036854777/720575940379279360
1.03	5980780305148019/360287970189639680
1.03	19887895954468113/720575940379279360
1.03	5044031582654955/144115188075855872
1.03	29975959119778023/720575940379279360
1.03	37902294463950093/720575940379279360
1.03	1315051091192185/18014398509481984
1.03	14627691589699369/180143985094819840
1.03	3098476543630901/36028797018963968
1.04	-5620492334958379/144115188075855872
1.04	-1116892707587883/36028797018963968
1.04	-5764607523034235/288230376151711744
1.04	-9511602413006487/720575940379279360
1.04	3026418949592973/720575940379279360
1.04	864691128455135/144115188075855872
1.04	18158513697557843/1441151880758558720
1.04	5476377146882523/288230376151711744
1.04	15276209936040721/720575940379279360
1.04	19887895954468113/720575940379279360
1.04	25076042725198919/720575940379279360
1.04	29831843931702167/720575940379279360
1.04	37614064087798381/720575940379279360
1.04	1206964700135293/18014398509481984
1.04	1351079888211149/18014398509481984
1.04	5764607523034235/72057594037927936
1.04	15276209936040721/180143985094819840
1.05	-1261007895663739/36028797018963968
1.05	-1206964700135293/45035996273704960
1.05	-17582052945254417/1441151880758558720
1.05	-14699749183737299/1441151880758558720
1.05	19887895954468109/1441151880758558720
1.05	6196953087261803/360287970189639680
1.05	15708555500268289/720575940379279360
1.05	19887895954468113/720575940379279360
1.05	29687728743626311/720575940379279360
1.05	37614064087798381/720575940379279360
1.05	18158513697557841/288230376151711744
1.05	1242993497154257/18014398509481984
1.05	1387108685230113/18014398509481984
1.05	2954361355555045/36028797018963968
1.05	15996785876420001/180143985094819840
1.06	-14987979559889011/576460752303423488
1.06	-18446744073709551/1441151880758558720
1.06	-6341068275337659/576460752303423488
1.06	-1297036692682703/144115188075855872
1.06	-1008806316530991/144115188075855872
1.06	-720575940379279/144115188075855872
1.06	-864691128455135/288230376151711744
1.06	-9007199254741/9007199254740992
1.06	9007199254741/9007199254740992
1.06	864691128455135/288230376151711744
1.06	720575940379279/144115188075855872
1.06	18158513697557843/1441151880758558720
1.06	1080863910568919/72057594037927936
1.06	1224979098644775/72057594037927936
1.06	15564440312192433/720575940379279360
1.06	19887895954468113/720575940379279360
1.06	29399498367474599/720575940379279360
1.06	37614064087798381/720575940379279360
1.06	8502796096475497/144115188075855872
1.06	1279022294173221/18014398509481984
1.06	14555633995661441/180143985094819840
1.06	3098476543630901/36028797018963968
1.07	-5476377146882523/144115188075855872
1.07	-3602879701896397/144115188075855872
1.07	-12682136550675317/576460752303423488
1.07	-16717361816799281/1441151880758558720
1.07	9223372036854777/720575940379279360
1.07	5980780305148019/360287970189639680
1.07	6557241057451443/360287970189639680
1.07	19887895954468113/720575940379279360
1.07	4899916394579099/144115188075855872
1.07	29255383179398743/720575940379279360
