1.	-5242189966259257/180143985094819840
1.	-19887895954468109/720575940379279360
1.	-17870283321406127/720575940379279360
1.	-3314649325744685/144115188075855872
1.	-3098476543630901/144115188075855872
1.	-14339461213547657/720575940379279360
1.	-26517194605957479/1441151880758558720
1.	-12177733392409821/720575940379279360
1.	-5548434740920451/360287970189639680
1.	-5008002785635991/360287970189639680
1.	-900719925474099/72057594037927936
1.	-3170534137668829/288230376151711744
1.	-2738188573441261/288230376151711744
1.	-11673330234144323/1441151880758558720
1.	-4827858800541171/720575940379279360
1.	-5620492334958377/1441151880758558720
1.	-720575940379279/288230376151711744
1.	-1729382256910267/1441151880758558720
1.	72057594037929/720575940379279360
1.	63050394783187/45035996273704960
1.	351280770934899/90071992547409920
1.	459367161991791/90071992547409920
1.	5656521131977343/360287970189639680
1.	5782621921543717/90071992547409920
1.	1170935903116329/18014398509481984
1.	308496574474879/4503599627370496
1.05	-5332261958806667/180143985094819840
1.05	-16140901064495857/576460752303423488
1.05	-71481133285624513/2882303761517117440
1.05	-16645304222761353/720575940379279360
1.05	-3098476543630901/144115188075855872
1.05	-14339461213547657/720575940379279360
1.05	-26517194605957479/1441151880758558720
1.05	-87622034350120361/5764607523034234880
1.05	-4899916394579099/360287970189639680
1.05	-8718968878589279/720575940379279360
1.05	-15276209936040721/1441151880758558720
1.05	-2594073385365405/288230376151711744
1.05	-1080863910568919/144115188075855872
1.05	-864691128455135/144115188075855872
1.05	-3314649325744683/720575940379279360
1.05	-4467570830351531/1441151880758558720
1.05	9007199254741/9007199254740992
1.05	207165582859043/90071992547409920
1.05	81064793292669/22517998136852480
1.05	441352763482309/90071992547409920
1.05	879102647262721/144115188075855872
1.05	1729382256910271/144115188075855872
1.05	1116892707587883/72057594037927936
1.05	2877800161889747/45035996273704960
1.05	1170935903116329/18014398509481984
1.1	-20248183924657749/720575940379279360
1.1	-71481133285624513/2882303761517117440
1.1	-3314649325744685/144115188075855872
1.1	-15348267530078649/720575940379279360
1.1	-7061644215716937/360287970189639680
1.1	-5188146770730811/288230376151711744
1.1	-5296233161787703/360287970189639680
1.1	-4719772409484279/360287970189639680
1.1	-16429131440647567/1441151880758558720
1.1	-14123288431433873/1441151880758558720
1.1	-5980780305148017/720575940379279360
1.1	-4827858800541171/720575940379279360
1.1	-3674937295934323/720575940379279360
1.1	-648518346341351/180143985094819840
1.1	-3026418949592971/1441151880758558720
1.1	-2017612633061977/2882303761517117440
1.1	189151184349561/90071992547409920
1.1	63050394783187/18014398509481984
1.1	879102647262721/144115188075855872
1.1	6052837899185947/720575940379279360
1.1	1369094286720631/144115188075855872
1.1	1513209474796487/144115188075855872
1.1	1873497444986127/144115188075855872
1.1	5656521131977343/360287970189639680
1.1	1152921504606847/18014398509481984
1.1	1170935903116329/18014398509481984
1.15	-5332261958806667/180143985094819840
1.15	-70039981404865953/2882303761517117440
1.15	-3242591731706757/144115188075855872
1.15	-14987979559889009/720575940379279360
1.15	-10952754293765045/576460752303423488
1.15	-3116490942140383/180143985094819840
1.15	-5620492334958379/360287970189639680
1.15	-5008002785635991/360287970189639680
1.15	-35164105890508827/2882303761517117440
1.15	-3026418949592973/288230376151711744
1.15	-12682136550675313/1441151880758558720
1.15	-5188146770730811/720575940379279360
1.15	-4035225266123963/720575940379279360
1.15	-2305843009213693/576460752303423488
1.15	-3458764513820539/1441151880758558720
1.15	-1297036692682699/1441151880758558720
1.15	27021597764223/45035996273704960
1.15	189151184349561/90071992547409920
1.15	63050394783187/18014398509481984
1.15	441352763482309/90071992547409920
1.15	5332261958806667/720575940379279360
1.15	6196953087261803/720575940379279360
1.15	1801439850948199/144115188075855872
1.15	5656521131977343/360287970189639680
1.15	360850920143061/5629499534213120
1.15	1170935903116329/18014398509481984
1.15	1206964700135293/18014398509481984
1.2	-5260204364768739/180143985094819840
1.2	-7349874591868649/288230376151711744
1.2	-17005592192950993/720575940379279360
1.2	-15708555500268289/720575940379279360
1.2	-2882303761517117/144115188075855872
1.2	-26084849041729911/1441151880758558720
1.2	-46981551312729013/2882303761517117440
1.2	-5260204364768739/360287970189639680
1.2	-4611686018427387/360287970189639680
1.2	-3170534137668829/288230376151711744
1.2	-13402712491054593/1441151880758558720
1.2	-5476377146882523/720575940379279360
1.2	-4251398048237747/720575940379279360
1.2	-12105675798371887/2882303761517117440
1.2	-3746994889972251/1441151880758558720
1.2	-288230376151711/288230376151711744
1.2	27021597764223/45035996273704960
